id,infinitiv,presens,preteritum,perfektum,inflId
A20587nb,gradere,graderer,graderte,gradert,P020nb
A66299nb,valse,valser,valsa,valsa,P001nb
A66299nb,valse,valser,valset,valset,P010nb
A30919nb,kombinere,kombinerer,kombinerte,kombinert,P020nb
A10322nb,dissekere,dissekerer,dissekerte,dissekert,P020nb
A37116nb,markere,markerer,markerte,markert,P020nb
A45103nb,plage,plager,plaga,plaga,P001nb
A45103nb,plage,plager,plaget,plaget,P010nb
A45103nb,plage,plager,plagde,plagd,P030nb
A55902nb,speke,speker,speket,speket,P010nb
A55902nb,speke,speker,spekte,spekt,P020nb
A56415nb,sprøytelakkere,sprøytelakkerer,sprøytelakkerte,sprøytelakkert,P020nb
A3395nb,avdekke,avdekker,avdekka,avdekka,P001nb
A3395nb,avdekke,avdekker,avdekket,avdekket,P010nb
